Game Started: 2025-07-31_13-14-48
Turn, FactionID, Population, Soldiers, Territory
10, 1, 176, 6, 1
10, 2, 169, 6, 1
10, 3, 164, 6, 1
10, 4, 164, 6, 1
10, 5, 160, 6, 1
20, 1, 42, 7, 1
20, 2, 37, 7, 1
20, 3, 23, 7, 1
20, 4, 22, 7, 1
20, 5, 18, 7, 1
30, 1, 109, 7, 1
30, 2, 96, 7, 1
30, 3, 74, 7, 1
30, 4, 78, 7, 1
30, 5, 91, 7, 1
40, 1, 173, 7, 1
40, 2, 172, 7, 1
40, 3, 144, 7, 1
40, 4, 148, 7, 1
40, 5, 152, 7, 1
50, 1, 37, 8, 1
50, 2, 36, 8, 1
50, 3, 15, 8, 1
50, 4, 10, 8, 1
50, 5, 26, 8, 1
60, 1, 93, 8, 1
60, 2, 96, 8, 1
60, 3, 87, 8, 1
60, 4, 77, 8, 1
60, 5, 81, 8, 1
70, 1, 159, 8, 1
70, 2, 156, 8, 1
70, 3, 146, 8, 1
70, 4, 146, 8, 1
70, 5, 151, 8, 1
80, 1, 26, 9, 1
80, 2, 35, 9, 1
80, 3, 0, 8, 1
80, 4, 4, 8, 1
80, 5, 20, 9, 1
90, 1, 87, 9, 1
90, 2, 107, 9, 1
90, 3, 69, 9, 1
90, 4, 69, 9, 1
90, 5, 87, 9, 1
100, 1, 149, 9, 1
100, 2, 164, 9, 1
100, 3, 140, 9, 1
100, 4, 133, 9, 1
100, 5, 145, 9, 1
110, 1, 32, 10, 2
110, 2, 80, 10, 2
110, 3, 1, 9, 1
110, 4, 192, 9, 1
110, 5, 4, 9, 1
120, 1, 166, 10, 2
120, 2, 3, 10, 2
120, 3, 0, 10, 3
120, 4, 140, 10, 2
120, 5, 121, 10, 2
130, 1, 99, 11, 2
130, 2, 140, 11, 2
130, 3, 179, 11, 3
130, 4, 66, 11, 2
130, 5, 51, 11, 2
140, 1, 31, 12, 2
140, 2, 69, 12, 2
140, 3, 190, 12, 3
140, 4, 10, 11, 2
140, 5, 186, 11, 2
150, 1, 154, 12, 2
150, 2, 183, 12, 2
150, 3, 181, 13, 3
150, 4, 140, 12, 2
150, 5, 123, 12, 2
160, 1, 98, 13, 2
160, 2, 111, 13, 2
160, 3, 174, 14, 3
160, 4, 75, 13, 2
160, 5, 72, 13, 2
170, 1, 42, 14, 2
170, 2, 31, 14, 2
170, 3, 187, 15, 3
170, 4, 194, 13, 2
170, 5, 199, 13, 2
180, 1, 167, 14, 2
180, 2, 155, 14, 2
180, 3, 192, 16, 3
180, 4, 128, 14, 2
180, 5, 131, 14, 2
190, 1, 104, 15, 2
190, 2, 88, 15, 2
190, 3, 199, 17, 3
190, 4, 56, 15, 2
190, 5, 53, 15, 2
200, 1, 21, 16, 2
200, 2, 29, 16, 2
200, 3, 188, 18, 3
200, 4, 175, 15, 2
200, 5, 184, 15, 2
210, 1, 150, 16, 2
210, 2, 153, 16, 2
210, 3, 190, 19, 3
210, 4, 107, 16, 2
210, 5, 114, 16, 2
220, 1, 80, 17, 2
220, 2, 91, 17, 2
220, 3, 10, 20, 3
220, 4, 53, 17, 3
220, 5, 45, 17, 2
230, 1, 186, 17, 2
230, 2, 50, 18, 4
230, 3, 56, 22, 4
230, 4, 41, 18, 3
230, 5, 172, 17, 2
240, 1, 166, 18, 3
240, 2, 187, 19, 5
240, 3, 134, 23, 4
240, 4, 20, 18, 3
240, 5, 168, 18, 3
