Game Started: 2025-07-31_14-30-48
Turn,FactionID,Population,Soldiers,Territory
10,1,148,13,9
10,2,171,13,10
10,3,262,12,7
10,4,87,13,9
10,5,66,13,6
20,1,107,15,10
20,2,255,14,11
20,3,248,13,7
20,4,94,14,9
20,5,53,14,6
30,1,109,18,13
30,2,153,16,12
30,3,228,14,7
30,4,226,15,10
30,5,33,14,6
40,1,264,20,15
40,2,175,18,14
40,3,197,15,7
40,4,92,18,12
40,5,210,15,6
50,1,140,24,18
50,2,253,20,16
50,3,189,16,7
50,4,153,20,13
50,5,176,16,6
60,1,209,26,18
60,2,147,21,16
60,3,80,18,8
60,4,218,22,14
60,5,153,17,6
70,1,63,30,20
70,2,165,23,17
70,3,198,19,9
70,4,215,24,14
70,5,136,18,6
80,1,195,33,22
80,2,203,26,18
80,3,241,20,9
80,4,119,27,15
80,5,117,19,6
90,1,180,37,24
90,2,254,28,19
90,3,291,21,9
90,4,142,29,15
90,5,76,20,6
100,1,212,40,24
100,2,125,31,20
100,3,135,23,9
100,4,176,32,17
100,5,80,22,8
110,1,179,44,25
110,2,249,34,23
110,3,166,24,9
110,4,102,35,18
110,5,130,24,10
120,1,231,47,25
120,2,251,37,24
120,3,108,25,10
120,4,169,37,18
120,5,123,26,11
130,1,208,51,26
130,2,212,41,26
130,3,167,28,12
130,4,63,40,20
130,5,71,30,15
140,1,218,57,31
140,2,214,46,30
140,3,290,30,14
140,4,83,44,21
140,5,55,31,15
150,1,192,62,33
150,2,289,51,34
150,3,119,32,15
150,4,116,47,22
150,5,45,33,15
160,1,223,67,35
160,2,211,56,36
160,3,256,34,15
160,4,174,50,23
160,5,151,36,16
170,1,92,72,37
170,2,152,60,38
170,3,188,37,17
170,4,74,54,26
170,5,198,39,18
180,1,207,79,41
180,2,294,65,39
180,3,133,39,17
180,4,91,58,26
180,5,49,41,18
190,1,227,85,43
190,2,170,70,41
190,3,282,40,17
190,4,66,61,27
190,5,160,45,20
200,1,247,92,46
200,2,224,77,44
200,3,232,42,17
200,4,44,65,28
200,5,184,48,21
210,1,257,98,47
210,2,206,81,44
210,3,112,44,18
210,4,109,69,28
210,5,201,51,22
220,1,174,104,49
220,2,146,86,44
220,3,202,47,19
220,4,207,73,30
220,5,143,54,22
230,1,76,111,51
230,2,248,92,45
230,3,109,50,20
230,4,101,79,33
230,5,119,58,24
240,1,189,119,54
240,2,266,98,47
240,3,180,53,22
240,4,130,83,33
240,5,215,61,25
250,1,168,126,57
250,2,139,105,51
250,3,245,55,22
250,4,182,88,35
250,5,202,64,25
260,1,222,135,60
260,2,150,111,52
